;Anagallis arvensis;Anemone pavonina;Anthemis auriculata;Anthyllis hermanniae;Asphodelus ramosus;Blackstonia perfoliata;Centaurea solstitialis;Centaurium pulchellum;Cistus creticus;Cistus salvifolius;Crepis neglecta;Cuscuta epithymum;Echium plantagineum;Fumana arabica;Genista acanthoclada;Geranium robertianum;Hedypnois cretica;Heliotropium lasiocarpum;Lagoecia cuminoides;Lavandula stoechas;Linum trigynum;Medicago minima;Moenchia mantica;Onopordum tauricum;Orchis sancta;Ornithogalum sp.;Papaver argemone;Prasium majus;Ranunculus paludosus;Scandix sp.;Sedum confertiflorum;Serapias cordigera;Serapias vomeracea;Taraxacum sp.;Teucrium divaricatum;Tolpis barbata;Trifolium angustifolium;Trifolium arvense;Trifolium campestre;Trifolium glanduliferum;Tuberaria guttata
Lasioglossum villosulum-group;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leucospis gigas;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithurgus chrysurus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lomatia sp. A;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0
Lycaena phlaeas;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Macroglossum stellatarum;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;0;0;0;0;0
Malachius bipustulatus;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maniola telmessia;0;0;1;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Megachile albisecta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Megachile giraudi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
